262,51628
229,91738
184,44854
200,61682
193,52582
241,83718
719,4942
185,45296
348,19216
188,48508
312,35662
275,56192
289,45052
247,66610
189,46136
823,2460
240,62926
202,51480
228,70980
334,25756
374,12444
191,51400
774,3330
647,4152
341,20350
234,70936
249,61366
659,8438
268,63380
159,34926
428,7208
208,65602
204,58542
198,58842
781,2334
514,6010
328,24906
586,3572
245,79536
215,84578
502,4996
523,3994
236,71242
996,2366
321,27958
230,87356
167,30360
152,26308
186,48654
177,40280
751,5810
303,38828
183,42220
211,66352
255,73190
213,76430
271,53624
296,38138
763,4566
129,19166
892,2846
325,27704
221,64914
288,44386
212,63870
356,16516
449,5632
135,19356
284,43558
109,10846
210,57808
701,7670
206,52504
239,80188
533,5182
923,2508
253,82776
376,14164
322,30856
113,9752
128,15646
326,26688
259,52968
324,28992
274,61254
260,68028
248,89744
170,34956
201,51952
162,40766
250,73694
139,21830
532,3888
233,64128
382,13182
396,10640
790,3480
258,68464
178,39732
305,34726
387,11178
692,5022
641,3818
773,2532
277,52986
251,75686
390,11032
342,19062
218,79334
205,56448
668,9266
270,59094
385,10574
181,41382
172,38422
242,71784
187,45402
664,5506
145,22390
350,18678
272,50384
232,82046
214,69530
430,8562
207,61874
298,39638
292,43270
323,28218
209,56482
336,22960
220,54452
351,19934
217,72170
354,16350
315,32668
290,47722
442,6784
244,62398
222,56414
175,39650
161,34586
429,6462
493,6804
762,5598
694,4516
662,4556
345,18466
254,68618
143,18296
536,4142
171,37002
638,3566
197,57444
287,43096
264,54696
330,27222
257,53022
307,34764
286,45450
246,74852
621,4230
702,5464
223,70190
134,13552
295,46384
168,30596
399,9088
166,32880
310,30370
797,3026
780,4762
439,5288
231,70406
335,21818
294,42170
148,22742
477,6886
227,70812
304,35294
631,4394
333,23282
363,15452
136,15856
761,6922
144,17682
199,46288
203,65836
194,51954
123,13210
279,48140
906,3136
511,4746
108,12112
147,22128
100,11562
267,55158
226,75114
386,10552
534,4644
243,79068
669,6984
